Distance (µm),Raw_data,Fitted_data
0,32799,32807.70715
1,32768,32807.82722
2,32786,32808.13839
3,32809,32808.89309
4,32901,32810.6051
5,32865,32814.23503
6,32899,32821.42256
7,32925,32834.6988
8,32869,32857.54288
9,32960,32894.09095
10,32966,32948.32118
11,33051,33022.68146
12,33098,33116.40444
13,33236,33224.07834
14,33300,33335.22476
15,33388,33435.48395
16,33444,33509.46538
17,33591,33544.56664
18,33523,33534.47741
19,33622,33481.03225
20,33358,33393.66589
21,33264,33286.69281
22,33134,33175.48765
23,33136,33072.96048
24,32962,32987.39961
25,32889,32922.04176
26,32829,32876.03022
27,32802,32846.04423
28,32797,32827.89793
29,32782,32817.67826
30,32798,32812.31316
31,32786,32809.68436
32,32795,32808.48099
33,32789,32807.96595
34,32748,32807.75972
